Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Dark Match,5.4,1200.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Continente,5.2,94.0,1h 55m,Horror,115.0,Standard,< 2 hrs
Ghost Game,3.4,365.0,1h 26m,Horror,86.0,Short,< 2 hrs
Riders,6.4,511.0,1h 45m,Horror,105.0,Standard,< 2 hrs
Crescent City,3.9,1500.0,1h 43m,Horror,103.0,Standard,< 2 hrs
The Bunker,4.3,357.0,1h 32m,Horror,92.0,Standard,< 2 hrs
Unspeakable: Beyond the Wall of Sleep,4.9,124.0,1h 30m,Horror,90.0,Standard,< 2 hrs
Up the Catalogue,8.8,5.0,,Horror,,150+ min,3–4 hrs
Chainsaws Were Singing,7.2,386.0,1h 57m,Horror,117.0,Standard,< 2 hrs
Heretics,3.9,98.0,1h 23m,Horror,83.0,Short,< 2 hrs
Interlopers,5.0,73.0,1h 46m,Horror,106.0,Standard,< 2 hrs
Saint Catherine,3.5,250.0,1h 26m,Horror,86.0,Short,< 2 hrs
Solvent,7.1,454.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Cinderella's Curse,3.4,1400.0,1h 22m,Horror,82.0,Short,< 2 hrs
Chain Reactions,7.1,111.0,1h 43m,Horror,103.0,Standard,< 2 hrs
Hell Hole,4.5,1300.0,1h 32m,Horror,92.0,Standard,< 2 hrs
X Files,2.3,68.0,1h 14m,Horror,74.0,Short,< 2 hrs
Little Bites,4.7,1300.0,1h 45m,Horror,105.0,Standard,< 2 hrs
Barda,4.6,663.0,1h 39m,Horror,99.0,Standard,< 2 hrs
Dr. Sander's Sleep Cure,6.4,1000.0,1h 42m,Horror,102.0,Standard,< 2 hrs
Street Trash,4.5,953.0,1h 25m,Horror,85.0,Short,< 2 hrs
Kuang Bao Ju Xi,5.6,86.0,1h 15m,Horror,75.0,Short,< 2 hrs
Frankie Freako,5.6,1300.0,1h 25m,Horror,85.0,Short,< 2 hrs
The Ceremony Is About to Begin,4.5,821.0,1h 10m,Horror,70.0,Short,< 2 hrs
The North Witch,4.9,50.0,1h 20m,Horror,80.0,Short,< 2 hrs
Terminator: Skynet Rising,6.7,283.0,1h 28m,Horror,88.0,Short,< 2 hrs
Tantra,5.0,2400.0,2h 16m,Horror,136.0,120-150 min,2–3 hrs
Butchers Book Two: Raghorn,4.1,666.0,1h 28m,Horror,88.0,Short,< 2 hrs
The Woods,4.0,68.0,1h 16m,Horror,76.0,Short,< 2 hrs
Crackcoon,3.6,451.0,1h 28m,Horror,88.0,Short,< 2 hrs
Mononoke the Movie: The Phantom in the Rain,6.7,1400.0,1h 29m,Horror,89.0,Short,< 2 hrs
Scurry,7.6,26.0,1h 30m,Horror,90.0,Standard,< 2 hrs
I Heart Willie,6.1,117.0,1h 28m,Horror,88.0,Short,< 2 hrs
Granny,8.0,7.0,,Horror,,150+ min,3–4 hrs
The Demon Disorder,4.8,1300.0,1h 26m,Horror,86.0,Short,< 2 hrs
Trope,4.1,35.0,1h 26m,Horror,86.0,Short,< 2 hrs
People in the Walls,3.2,48.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Grotesque 2,6.1,599.0,,Horror,,150+ min,3–4 hrs
Dirty Boy,7.8,35.0,1h 38m,Horror,98.0,Standard,< 2 hrs
Goldilocks and the Three Bears: Death and Porridge,2.1,1900.0,1h 22m,Horror,82.0,Short,< 2 hrs
The Ruse,7.4,422.0,1h 45m,Horror,105.0,Standard,< 2 hrs
Sengkolo: Malam satu suro,5.8,62.0,1h 40m,Horror,100.0,Standard,< 2 hrs
Invasive,5.6,801.0,1h 37m,Horror,97.0,Standard,< 2 hrs
Sakaratul Maut,5.4,189.0,1h 47m,Horror,107.0,Standard,< 2 hrs
